zp	lmass	Fu	e_Fu	Fr	e_Fr
  1.335	  9.01	 5.33990e-01	 8.53597e-01	 1.28466e+00	 4.36057e-01
  1.454	  9.52	 5.52202e-01	 3.37663e-02	 1.46029e+00	 2.14216e-02
  1.554	  9.15	 1.85977e-01	 2.26924e-02	 4.47138e-01	 5.08309e-02
  1.370	  8.68	 1.09525e-01	 1.99693e-02	 2.73517e-01	 2.59601e-02
  1.145	  8.79	 5.84022e-02	 1.41600e-02	 1.48596e-01	 2.19662e-02
  1.312	  8.41	 8.20734e-02	 1.01662e-02	 2.16136e-01	 5.62771e-02
  1.951	  8.43	 1.33527e-01	 1.01662e-02	 2.57577e-01	 2.06954e-02
  1.864	  9.18	 2.09812e-01	 1.07108e-02	 4.12359e-01	 5.60956e-02
  1.430	 10.01	 1.52127e+00	 8.36895e-02	 3.78306e+00	 6.35387e-02
  1.491	 10.55	 7.64494e-01	 4.81078e-02	 5.00427e+00	 1.47228e-01
  1.406	  8.78	 3.58926e-01	 3.84863e-02	 9.50005e-01	 4.72001e-02
  1.893	  9.74	 6.63630e-01	 2.70493e-02	 1.94032e+00	 1.30345e-01
  1.335	  9.37	 5.49461e-01	 5.08309e-02	 1.36090e+00	 3.79417e-02
  1.479	  8.52	 1.27170e-01	 7.80618e-03	 1.18457e-01	 3.84863e-02
  1.504	 10.03	 2.39104e+00	 1.04748e-01	 5.76383e+00	 8.26003e-02
  1.323	  8.38	 2.79122e-01	 3.56724e-01	 8.81485e-01	 2.19662e-01
  1.822	  9.40	 2.70655e-01	 1.39785e-02	 6.34043e-01	 1.59391e-01
  1.794	 10.56	 1.31943e+00	 2.45078e-02	 7.08365e+00	 2.13127e-01
  1.406	  9.46	 1.20274e-01	 2.23293e-02	 6.98718e-01	 4.84709e-02
  1.491	  9.03	 4.54323e-01	 2.32370e-02	 7.56121e-01	 1.67016e-02
  1.051	  8.28	 2.03320e-01	 2.99539e-02	 2.86392e-01	 7.60649e-02
  1.937	  9.51	 2.14019e-01	 4.10278e-02	 4.67902e-01	 1.16911e-01
  1.406	 10.35	 4.01582e+00	 1.72462e-01	 1.41917e+01	 1.96244e-01
  1.981	  9.46	 3.33097e-01	 4.59294e-02	 1.03251e+00	 9.00434e-02
  1.479	  8.79	 1.77238e-01	 1.41600e-02	 3.78520e-01	 3.44924e-03
  1.335	  9.16	 8.34128e-01	 2.01508e-02	 1.50806e+00	 2.34185e-02
  1.221	  9.30	 1.47946e+00	 1.15096e-01	 2.88316e+00	 7.57018e-02
  1.061	  8.18	 1.92286e-01	 1.68831e-02	 2.63926e-01	 2.52339e-02
  1.061	  8.53	 2.79987e-01	 3.61263e-02	 5.07412e-01	 7.33418e-02
  1.658	  8.91	 2.19766e-01	 3.35847e-02	 2.75333e-01	 1.16185e-01
  1.645	  9.46	 2.50269e-01	 2.23293e-02	 1.13745e+00	 2.61416e-02
  1.346	  9.39	 8.50361e-01	 3.46740e-02	 2.03010e+00	 1.16185e-02
  1.394	  8.72	 2.22184e-01	 2.14216e-02	 3.93126e-01	 3.21324e-02
  1.632	  9.20	 3.86112e-02	 1.03477e-02	 1.26550e-01	 2.41447e-02
  1.658	  9.66	 2.71578e-02	 1.05293e-02	 3.73694e-01	 1.04930e-01
  1.698	  9.85	 5.69884e-02	 4.28432e-02	 5.20621e-01	 6.91664e-02
  1.466	      	 7.26189e-02	 4.75632e-02	 3.87771e-01	 8.58680e-02
  1.382	 10.95	 1.41968e+00	 1.12010e-01	 8.95340e+00	 2.25653e-01
  1.188	  9.58	 4.61374e-03	 3.99386e-03	 8.82694e-01	 1.72099e-01
  1.358	  9.35	 7.95017e-01	 3.63078e-02	 1.70913e+00	 1.27077e-02
  1.966	  8.88	 3.29186e-01	 1.76093e-02	 8.01273e-01	 1.90434e-01
  1.277	  8.70	 1.12736e-01	 7.62464e-03	 1.15662e-01	 3.46740e-02
  1.567	  9.86	 1.65278e+00	 9.93018e-02	 3.77162e+00	 7.53387e-02
  1.645	  8.61	 5.11359e-01	 3.26770e-02	 3.95407e-01	 1.83354e-02
  1.061	  9.81	 3.25373e-03	 7.26156e-04	 5.92057e-02	 8.89541e-03
  1.808	  9.11	 3.18703e-01	 1.08923e-02	 7.48445e-01	 1.77908e-01
  1.454	 10.64	 7.84753e-01	 1.06019e-01	 5.21914e+00	 2.29828e-01
  1.504	  8.75	 2.35043e-01	 1.32523e-02	 3.62458e-01	 6.24494e-02
  1.937	  9.69	 1.76047e+00	 8.71387e-03	 3.09101e+00	 5.66220e-01
  1.951	 10.47	 1.71796e-01	 2.34185e-02	 1.39969e+00	 1.26170e-01
  1.255	  8.58	 3.65714e-01	 4.68371e-02	 5.07714e-01	 3.83047e-02
  1.061	  9.15	 2.92611e-03	 1.99693e-03	 1.16557e-01	 6.82587e-02
  1.145	  7.95	 1.57949e-01	 1.52493e-02	 2.04866e-01	 3.17693e-02
  1.618	  8.10	 3.12782e-01	 6.89848e-03	 2.41697e-01	 4.17540e-03
  1.041	 10.55	 1.38399e+00	 1.05656e-01	 1.08768e+01	 4.00112e-01
  1.000	  8.28	 2.04942e-01	 9.25849e-03	 5.05249e-01	 4.17540e-02
  1.966	  8.54	 5.24590e-01	 9.07695e-03	 7.08601e-01	 1.03114e-01
