zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.647	  9.86	 9.82645e-01	 4.17540e-02	 7.80600e+00	 3.34576e-01
  0.697	  8.52	 1.33253e-01	 1.45231e-02	 5.61424e-01	 7.18895e-02
  0.622	  8.43	 1.78133e-01	 1.81539e-03	 3.54505e-01	 8.71387e-03
  0.342	 10.81	 1.87402e+01	 2.80097e+00	 1.21098e+02	 6.82042e+00
  0.783	 10.42	 1.13534e+00	 6.26310e-02	 9.93451e+00	 1.07653e-01
  0.105	  6.72	 8.23824e-01	 2.90462e-03	 1.26379e+00	 1.81539e-04
  0.309	 11.18	 1.02313e+01	 0.00000e+00	 1.40322e+02	 0.00000e+00
  0.144	  7.12	 9.27595e-02	 5.62771e-03	 4.26094e-01	 1.47047e-02
  0.980	  8.86	 2.33841e-01	 1.81539e-02	 8.47337e-01	 4.30247e-02
  0.005	  5.44	 1.98025e+00	 7.44310e-03	 3.76338e+00	 5.13755e-02
  0.369	  9.43	 3.55746e+00	 1.17093e-01	 1.34642e+01	 1.72099e-01
  0.663	  9.95	 4.98118e+00	 1.45594e-01	 1.86117e+01	 7.01467e-01
  0.369	  8.95	 3.68982e+00	 9.29480e-02	 8.06502e+00	 7.11996e-01
  0.663	  8.73	 6.09688e-01	 2.39632e-02	 1.81940e+00	 3.61263e-02
  0.903	 11.18	 3.33114e+02	 0.00000e+00	 5.73304e+02	 0.00000e+00
  0.748	  9.68	 2.74049e-01	 3.83047e-02	 2.23348e+00	 1.22539e-01
  0.622	  9.30	 1.22443e-01	 2.37816e-02	 1.10916e+00	 2.37816e-02
  0.161	 10.28	 4.76395e+00	 1.71191e-01	 5.09551e+01	 2.15904e+00
  0.951	 10.39	 1.87568e+00	 1.13825e-01	 7.89731e+00	 1.00754e-01
  0.819	  9.00	 1.32952e+00	 3.28586e-02	 2.77324e+00	 2.28739e-02
  0.865	  9.48	 1.10247e+00	 8.64126e-02	 3.30008e+00	 7.18895e-02
  0.277	  9.57	 6.81980e-01	 2.57604e-01	 9.27094e-01	 3.19327e-01
  0.663	 10.05	 6.40963e+00	 1.97878e-01	 2.14454e+01	 2.48890e-01
  0.138	  8.25	 3.00149e+00	 1.83354e-02	 7.97145e+00	 4.59294e-02
  0.951	  9.58	 4.60975e-01	 1.96062e-02	 2.40859e+00	 5.99079e-02
  0.638	  9.36	 1.03300e+00	 4.66555e-02	 3.62237e+00	 7.49756e-02
  0.468	  9.58	 1.96353e-01	 5.80925e-03	 1.45456e+00	 1.43416e-02
  0.005	  5.58	 5.35591e-02	 1.08923e-03	 6.04064e-01	 5.44617e-03
  0.828	  8.95	 9.72123e-02	 3.44924e-02	 2.63008e-01	 6.22679e-02
