Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
 5415	          	  8.63	 5.89995e-01	 5.44617e-04	 1.05772e+00	 4.17540e-03
 5416	          	  9.70	 4.69703e-01	 8.71387e-03	 6.48116e-01	 1.13099e-01
 5417	          	  8.67	 8.19206e-02	 5.08309e-03	 1.08659e-01	 5.08309e-03
 5418	          	  8.79	 6.28499e-02	 1.68831e-02	 2.64048e-01	 1.48862e-02
 5419	          	 10.25	 2.95844e-01	 1.59754e-02	 1.56823e+00	 4.57478e-02
 5420	          	  7.33	 3.62223e-01	 3.44924e-03	 6.86279e-01	 1.45231e-03
 5421	          	  9.62	 1.17706e+00	 5.22832e-02	 3.33985e+00	 7.69725e-02
 5422	          	  9.69	 5.64866e-01	 7.44310e-03	 8.14268e-01	 9.91203e-02
 5423	          	  9.68	 1.79865e-01	 9.07695e-04	 3.89681e-01	 5.62771e-03
 5424	          	  9.19	 1.92025e-01	 2.17847e-03	 3.84086e-01	 2.34185e-02
 5425	          	  8.89	 2.72383e-01	 2.06954e-02	 5.68932e-01	 1.41600e-02
 5426	          	  8.04	 1.30631e-01	 1.16185e-02	 2.52667e-01	 2.72309e-03
 5427	          	  9.26	 1.95601e+00	 3.35847e-02	 5.26812e+00	 3.26770e-02
 5428	          	  8.84	 1.07290e-01	 2.03324e-02	 2.69854e-01	 9.62157e-03
 5429	          	  8.87	 4.21000e-01	 1.27077e-02	 1.60237e+00	 1.79724e-02
 5430	          	  8.23	 1.51806e-01	 0.00000e+00	 1.23728e-01	 9.07695e-04
 5431	          	  9.27	 2.52899e-01	 3.63078e-03	 5.24550e-01	 5.62771e-03
 5432	          	 10.15	 1.47099e+00	 6.33571e-02	 3.15753e+00	 5.17386e-02
 5433	          	  7.98	 1.23201e-02	 7.26156e-04	 1.91441e-01	 1.16185e-02
 5434	          	  8.90	 2.49633e-01	 4.72001e-03	 4.59192e-01	 2.14216e-02
 5435	          	  8.64	 1.04809e-01	 1.18000e-02	 1.92977e-01	 4.42955e-02
 5436	          	  8.92	 1.65359e-01	 6.17233e-03	 1.84569e-01	 1.27077e-02
 5437	          	  9.13	 6.02593e-01	 2.85016e-02	 2.34768e+00	 5.70033e-02
 5438	          	  8.56	 6.95817e-01	 7.80618e-03	 1.35448e+00	 6.17233e-03
 5439	          	  8.32	 1.06908e-01	 8.89541e-03	 1.67000e-01	 1.10739e-02
 5440	          	  9.15	 1.04234e+00	 3.81232e-02	 3.52327e+00	 9.73049e-02
 5441	          	  9.10	 4.08216e-01	 8.13295e-02	 6.48120e-01	 5.37356e-02
 5442	          	  9.77	 2.03678e-01	 3.12247e-02	 6.93298e-01	 6.53540e-02
 5443	          	  8.42	 2.02005e-01	 2.12401e-02	 4.23138e-01	 3.44924e-03
 5444	          	  8.90	 1.10498e-01	 5.80925e-03	 1.84055e-01	 4.64740e-02
 5445	          	  9.13	 1.20426e+00	 5.08309e-02	 2.17105e+00	 4.12094e-02
 5446	          	  8.61	 1.12750e-01	 6.17233e-03	 9.84657e-02	 3.86678e-02
 5447	          	 10.84	 1.53193e-01	 8.65941e-02	 1.86440e+00	 5.07039e-01
 5448	          	  9.34	 3.55678e-01	 5.44617e-03	 4.42926e-01	 6.71694e-03
 5449	          	  9.55	 5.52637e-01	 2.74124e-02	 8.38333e-01	 5.60956e-02
 5450	          	  9.87	 6.18213e-01	 1.37970e-02	 9.55778e-01	 3.63078e-02
 5451	          	  8.29	 1.39325e-01	 1.14370e-02	 2.35394e-01	 2.16031e-02
 5452	          	  8.11	 4.99708e-02	 1.37970e-02	 1.64130e-01	 1.21631e-02
 5453	          	  9.21	 2.20038e-01	 1.03477e-02	 3.25959e-01	 3.30401e-02
 5454	          	  9.51	 1.42801e+00	 3.55816e-02	 2.44211e+00	 6.37202e-02
 5455	          	  7.83	 6.47967e-02	 2.36001e-03	 1.32974e-01	 4.35694e-03
 5456	          	  8.42	 2.22338e-01	 7.26156e-03	 4.41554e-01	 7.08002e-03
 5457	          	  7.95	 4.27201e-01	 2.36001e-03	 6.69930e-01	 7.08002e-03
 5458	          	  9.20	 3.40897e-01	 3.90309e-02	 4.52047e-01	 6.31756e-02
 5459	          	  9.67	 1.33916e+00	 7.02556e-02	 3.84816e+00	 1.49225e-01
 5460	          	  8.68	 1.06906e-01	 9.80311e-03	 1.62074e-01	 1.63385e-02
 5461	          	 10.42	 1.08342e+00	 0.00000e+00	 6.21426e+00	 0.00000e+00
 5462	          	  8.30	 3.47426e-01	 8.89541e-03	 6.77743e-01	 2.17847e-03
 5463	          	  8.81	 1.17488e-01	 8.16926e-03	 1.81447e-01	 2.75939e-02
 5464	          	  6.06	 3.71959e+00	 5.21743e-01	 1.23160e+01	 2.86287e-01
 5465	          	  9.35	 5.37414e-01	 1.50677e-02	 2.95376e+00	 3.79417e-02
 5466	          	  9.36	 2.25469e-01	 1.07108e-02	 4.09984e-01	 6.37202e-02
 5467	          	  7.99	 9.77751e-02	 7.62464e-03	 1.48722e-01	 3.63078e-04
 5468	          	 11.13	 1.11085e+00	 9.80311e-02	 6.18347e+00	 3.65438e-01
 5469	          	  8.53	 1.16039e-01	 7.44310e-03	 1.99505e-01	 2.19662e-02
 5470	          	  8.41	 2.90479e-01	 2.72309e-03	 4.63803e-01	 1.45231e-03
 5471	          	  7.15	 1.18663e-01	 2.17847e-03	 2.21841e-01	 1.27077e-03
 5472	          	  7.79	 2.43350e-01	 5.26463e-03	 6.35093e-01	 9.44003e-03
 5473	          	  8.63	 8.36165e-02	 3.08616e-03	 1.92104e-01	 3.99386e-03
 5474	          	  8.77	 4.00718e-01	 6.69879e-02	 4.42636e-01	 2.57785e-01
 5475	          	  9.34	 1.63058e-01	 2.19662e-02	 2.62925e-01	 3.97570e-02
 5476	          	 10.48	 5.93164e-01	 9.56711e-02	 2.49349e+00	 2.58330e-01
 5477	          	  9.05	 2.11992e-01	 7.62464e-03	 3.12167e-01	 4.68371e-02
 5478	          	  9.44	 8.68149e-01	 1.97878e-02	 1.56163e+00	 6.60802e-02
 5479	          	  9.81	 2.59572e+00	 1.93702e-01	 1.06730e+01	 3.11339e-01
 5480	          	  7.78	 1.05938e-01	 5.08309e-03	 3.18677e-01	 6.53540e-03
 5481	          	  8.59	 3.71371e-02	 7.26156e-04	 1.17401e-01	 7.08002e-03
 5482	          	 10.09	 4.36049e-01	 3.75786e-02	 1.49717e+00	 5.19202e-02
 5483	          	  9.13	 2.75113e-01	 1.79724e-02	 9.66779e-01	 2.45078e-02
