zp	lmass	Fu	e_Fu	Fr	e_Fr
  3.041	  9.36	 3.22990e-01	 1.01843e-01	 7.44684e-01	 9.87572e-02
  3.061	  8.64	 5.04591e-02	 1.59754e-02	 1.33302e-01	 2.65047e-02
  3.312	  9.52	 1.79902e-01	 5.62771e-03	 2.79313e-01	 4.88340e-02
  7.083	  8.73	 9.84196e-03	 3.46740e-02	 1.70553e-01	 7.42495e-02
  4.963	  9.55	 1.98248e-01	 3.44924e-03	 4.21719e-01	 1.52493e-02
  3.021	  9.10	 1.97129e-01	 3.57632e-02	 3.04729e-01	 2.94093e-02
  4.290	 10.00	 1.51703e-01	 2.72309e-02	 9.77842e-01	 2.57241e-01
  3.884	 10.33	 4.58430e-01	 1.05293e-02	 1.38964e+00	 1.62477e-01
  3.647	  9.09	 1.41703e-01	 4.53848e-03	 4.38809e-01	 9.24034e-02
  3.102	  9.57	 4.17278e-01	 1.28893e-02	 7.17874e-01	 6.89848e-03
  3.143	  9.85	 7.22093e-01	 4.53848e-03	 1.19353e+00	 2.34185e-02
  3.465	  9.93	 3.04198e-01	 3.54001e-02	 7.60652e-01	 4.79263e-02
  3.421	  8.64	 1.68388e-01	 1.16185e-02	 1.26649e-01	 1.99693e-03
  3.061	 10.24	 2.58326e-01	 4.24801e-02	 1.11897e+00	 1.33976e-01
  4.058	  9.49	 1.66243e-01	 2.36001e-03	 3.15947e-01	 1.81539e-03
  4.212	  9.22	 2.03427e-01	 2.36001e-03	 3.79017e-01	 7.26156e-03
  3.983	 10.39	 1.58004e-01	 2.05139e-02	 8.87374e-01	 1.57939e-01
  3.082	 11.23	 1.75932e+00	 7.87879e-02	 8.29063e+00	 4.15906e-01
  3.532	  9.23	 1.40165e-01	 3.26770e-03	 1.86028e-01	 1.08923e-03
  5.555	 10.19	 1.47292e-01	 3.90309e-02	 7.65162e-01	 8.02403e-02
  3.532	  9.64	 3.60690e-01	 8.16926e-03	 7.93921e-01	 1.45231e-02
  3.102	  9.71	 5.70799e-01	 6.17233e-03	 8.88049e-01	 1.74277e-02
  3.443	  9.47	 4.21675e-01	 4.35694e-03	 5.81466e-01	 7.26156e-03
  4.186	  9.69	 1.90900e-01	 1.68831e-02	 3.04812e-01	 8.89541e-03
  3.001	  8.83	 1.97519e-01	 8.71387e-03	 3.46452e-01	 2.63232e-02
  5.206	 10.33	 1.09078e+01	 0.00000e+00	 4.83384e+00	 0.00000e+00
  3.102	  9.19	 1.36736e-01	 2.55970e-02	 3.83461e-01	 4.82894e-02
  3.269	  8.77	 3.14894e-01	 2.54155e-03	 3.82448e-01	 6.53540e-03
  3.443	  9.97	 1.30821e-01	 9.44003e-03	 4.76849e-01	 4.21171e-02
  3.001	 10.22	 5.31285e-01	 4.21171e-02	 1.84416e+00	 2.94093e-02
  3.206	 10.04	 9.40209e-01	 7.98772e-03	 1.52470e+00	 2.61416e-02
  3.061	  9.48	 2.28422e-01	 6.17233e-03	 3.12989e-01	 6.39017e-02
  3.164	  9.31	 4.77491e-02	 4.35694e-03	 1.50149e-01	 2.08770e-02
  3.185	 10.45	 2.17037e-01	 8.27818e-02	 1.32439e+00	 2.45622e-01
  3.487	 10.18	 1.43212e+00	 9.29480e-02	 3.02953e+00	 1.93702e-01
  3.510	  8.82	 1.26944e-01	 9.07695e-03	 9.91530e-02	 1.27077e-02
  3.185	  9.36	 4.48376e-01	 7.08002e-03	 5.95197e-01	 2.90462e-03
  3.061	  9.44	 3.58412e-01	 1.43416e-02	 5.82744e-01	 5.44617e-03
  3.465	 10.54	 5.90216e-01	 4.26617e-02	 2.20909e+00	 1.04385e-01
  4.160	 10.81	 4.79038e-01	 2.75939e-02	 2.63671e+00	 2.01690e-01
  3.909	  9.36	 6.08363e-02	 4.48401e-02	 1.62036e-01	 8.11479e-02
  3.983	  9.75	 5.29194e-02	 3.63078e-04	 3.74733e-01	 3.73970e-02
  4.290	  9.50	 1.84671e-01	 8.67757e-02	 2.64116e-01	 8.27818e-02
  3.021	  9.89	 1.02963e+00	 1.18000e-02	 1.51302e+00	 4.04832e-02
  3.206	  9.42	 3.80658e-01	 7.08002e-03	 5.49087e-01	 5.26463e-03
  3.021	  9.78	 4.57152e-01	 3.17693e-02	 1.13531e+00	 1.76274e-01
  3.532	  9.64	 2.77548e-01	 2.72309e-03	 5.34327e-01	 2.05139e-02
  3.185	  9.47	 2.81487e-01	 5.62771e-03	 4.03652e-01	 6.53540e-03
  4.451	 10.03	 8.37102e-02	 2.81385e-02	 5.44029e-01	 3.19509e-02
  3.123	  9.25	 4.76867e-01	 1.99693e-03	 4.35145e-01	 2.17847e-03
  4.644	  9.54	 7.39263e-02	 8.71387e-03	 1.97669e-01	 8.16926e-03
  4.673	 10.11	 1.10033e-01	 2.14216e-02	 5.43295e-01	 4.19355e-02
  3.143	 10.71	 7.56233e-01	 2.86832e-02	 3.17626e+00	 5.08309e-02
  3.164	  9.22	 1.10004e-01	 5.26463e-03	 3.42515e-01	 1.94247e-02
  3.082	  9.47	 4.05947e-01	 5.62771e-03	 6.77870e-01	 9.07695e-03
  3.578	  9.35	 1.93451e-01	 1.27077e-03	 3.29173e-01	 4.03017e-02
  5.206	 10.29	 1.18952e+01	 0.00000e+00	 5.25762e+00	 0.00000e+00
  3.206	  9.33	 2.80166e-01	 3.81232e-03	 4.64707e-01	 2.36001e-03
  3.185	  8.80	 6.78698e-02	 1.99693e-03	 8.71602e-02	 5.80925e-03
  4.673	 10.40	 4.46488e-01	 3.86678e-02	 1.71643e+00	 4.99232e-02
  3.670	  9.27	 1.82132e-01	 3.86678e-02	 3.09905e-01	 1.45231e-02
  3.123	  8.93	 1.19303e-01	 3.99386e-03	 1.62682e-01	 8.16926e-03
  3.740	  8.95	 3.79464e-01	 5.53694e-02	 4.20673e-01	 5.26463e-02
